benchmark,trial_index,average_time,normalized_time,seed_time,proposal_kind,return_code,bw_scale,ipc_scale,mpki_scale,llc_mpki_scale,mem_bound_scale,queue_scale,dup_rate_scale,max_dup_scale,dtlb_mpki_scale,bias,score_margin,consecutive_votes_required,consecutive_votes_required_weak
527,18,432,1.004651163,430,local-mutate,1,2597.637077,1.251733415,1.709496755,0.9829094898,26.96104068,56.31802492,0.01763338268,1.205981233,0.4421649583,-3.560467327e-07,0.1511284029,4,6
527,19,432,1.004651163,430,local-mutate,1,3037.876911,1.737286169,1.579815612,1.061330909,29.10910324,80.19216373,0.2517461769,1,0.6049796699,-2.858676827e-07,0.1206268658,3,6
527,20,431,1.002325581,430,local-mutate,1,2013.982541,0.6668321302,1.703537688,1.341814915,23.99476422,39.36242273,0.2457304087,1.026336385,0.8211331841,-1.488413553e-07,0.1191422031,3,5
527,21,433,1.006976744,430,rf-surrogate,1,2230.820456,1.767760706,1.794865754,1.231376289,29.64451009,47.89398451,0.1239312502,1,0.4821288243,-3.601392358e-07,0.1375273353,3,4
527,22,429,0.9976744186,430,rf-surrogate,1,2955.701244,1.337149868,2.042810623,1.485203808,24.59407204,77.17830544,0.1448620479,1.260810375,0.5285522756,-1.728196246e-07,0.1452430028,4,5
527,23,436,1.013953488,430,rf-surrogate,1,3079.868447,1.394372947,1.400866354,1.011773313,27.84306395,36.25578969,0.1118289898,1,0.564951431,-1.257145131e-07,0.1417664837,3,6
527,24,428,0.9953488372,430,rf-surrogate,1,2409.499453,1.580927613,1.635552539,1.249336024,32.01777151,53.73767288,0.2451015355,1.272680907,0.5658336019,-3.559813968e-07,0.1302336329,2,5
527,25,435,1.011627907,430,rf-surrogate,1,2643.198721,1.616540181,2.116967256,1.448622259,28.90242091,59.72904139,0.1183207041,1.654557635,0.5298167159,-3.453632963e-07,0.1497733317,4,5
554,1,800,1,800,seed,0,1700,1.6,1.3,1,24,24,0.1,2,0.8,0.05,0.15,2,3
554,2,811,1.01375,800,local-mutate,0,2103.437973,1.297272565,1.648222184,0.7933216839,26.97963705,28.59142215,0.05679213149,1.421300393,0.787569146,0.03955055453,0.1666939139,1,3
554,3,807,1.00875,800,local-mutate,0,1467.460747,1.330696884,1.099517889,0.801475176,21.58821981,18.86155129,0.07204631526,2.073877519,0.9823335407,0.04684958835,0.1343618006,3,4
554,4,784,0.98,800,local-mutate,0,2103.437973,1.297272565,1.648222184,0.7933216839,26.97963705,28.59142215,0.05679213149,1.421300393,0.787569146,0.03955055453,0.1666939139,1,3
554,5,804,1.005,800,local-mutate,0,1815.71333,1.07892285,1.394038289,0.6358276363,24.26843063,22.46994065,0.0409166381,1.473801467,0.9670694846,0.03705854397,0.1493152961,2,3
554,6,799,0.99875,800,local-mutate,0,1473.067228,1.510194303,1.10572368,0.8030500384,23.47958382,30.24006807,0.07562233599,1.529793431,0.9885159388,0.03890931345,0.1548847848,2,3
554,7,805,1.00625,800,local-mutate,0,1909.819473,0.9446060874,1.46926386,0.5854459259,20.31896548,25.83472907,0.04153065583,1.301478492,0.9740858327,0.03525814362,0.1174010388,1,3
554,8,832,1.04,800,global-random,0,7489.824989,4.010631521,16.87711254,10.4872483,23.36717535,250.7865681,1.232737118,13.29099065,4.480860631,0.4072573668,0.809379871,4,5
554,9,800,1,800,local-mutate,0,1858.909031,1.278097099,1.579421845,0.8936763654,25.14638162,31.00743333,0.03037062313,1.631597065,0.7809803092,0.04324521893,0.1919458593,2,3
554,10,841,1.05125,800,global-random,0,3262.311458,0.4108315219,12.88800083,9.512887046,36.50080753,148.1351558,1.412802037,4.450363414,2.190073192,1.68810103,0.8293768129,2,3
554,11,802,1.0025,800,local-mutate,1,2602.618416,1.051822567,2.089720282,0.6293592942,30.32920064,34.06122587,0.03225346199,1.010047404,0.7753314497,0.03128492727,0.1852457396,1,4
554,12,811,1.01375,800,local-mutate,1,1815.71333,1.245532156,1.464689454,0.7193070792,24.89641976,27.67952374,0.05486706118,1.236471244,0.5288831373,0.03007520926,0.1477410484,2,3
554,13,805,1.00625,800,local-mutate,1,2328.384313,1.062628661,1.772473223,0.6490218422,26.52338372,30.45822073,0.005861921136,1.487346043,0.5758983803,0.03585949414,0.1868652893,2,4
554,14,809,1.01125,800,local-mutate,1,2722.991986,1.474826871,1.638014732,0.7008040402,28.63657691,43.36996241,0.08368877725,1,0.7879566336,0.03863511448,0.149151144,1,4
554,15,814,1.0175,800,local-mutate,1,1805.227295,0.5660909304,1.766294629,0.8860095433,23.60525865,21.28819968,0.08168893641,1.265788653,1.069486086,0.04405458171,0.1473154074,1,3
554,16,820,1.025,800,global-random,1,3557.459054,1.077019486,8.75397299,15.23112437,28.6520331,33.32373717,1.834080672,6.634833143,6.09064985,1.876243813,0.643957819,2,7
554,17,790,0.9875,800,local-mutate,1,2072.346279,1.38152556,1.709264178,0.8444700889,24.40536291,27.67970775,0.006981896845,1.645212561,0.5833079043,0.04160115343,0.145354248,1,2
554,18,827,1.03375,800,local-mutate,1,1660.378947,1.026255547,1.605117086,0.9947816857,18.52142822,31.79397374,0.05481866637,1.071915235,0.892938602,0.04557139576,0.2143014875,1,2
554,19,822,1.0275,800,local-mutate,1,1821.947706,0.8706823584,1.844526851,0.6349794844,29.04603758,33.07609871,0.02994787358,1.672639407,0.8662539903,0.0334626941,0.1266257045,1,3
554,20,806,1.0075,800,global-random,1,6132.253698,4.531000976,19.53440032,0.1161265683,29.75961712,72.05337537,1.707656903,5.034069568,1.960371112,0.4373580364,0.3838982187,5,7
554,21,812,1.015,800,rf-surrogate,1,2130.51313,1.36973223,1.603051426,0.872734628,26.32273799,30.05733687,0.06048856892,1.418770156,0.7651753311,0.04466043402,0.1754405913,1,2
554,22,807,1.00875,800,rf-surrogate,1,1776.426136,1.620222383,1.73819145,0.782978382,31.50240341,27.31704964,0.04337131361,1.697589939,0.7133652647,0.04218293674,0.1531466429,1,2
554,23,830,1.0375,800,rf-surrogate,1,2069.035355,1.438082571,1.246061247,0.8317013441,24.87887937,24.45960425,0.05650750266,1.755148831,0.8453925902,0.04145771477,0.1850175282,1,3
554,24,808,1.01,800,rf-surrogate,1,2304.367783,1.178116543,1.669763284,0.8316944106,28.35469823,29.03046522,0.02707162209,1.513773328,0.4426466169,0.04421309958,0.1510907351,2,4
554,25,818,1.0225,800,rf-surrogate,1,1403.219128,1.586599865,1.435890225,0.8639931267,21.1421501,29.23803834,0.04847971645,1.602912256,0.7768154683,0.04319342733,0.1214457493,2,4
